symbol,name,publish_date,org,rating_value,last_rating_value,rating_name,eps_this,eps_next,industry
601992,金隅股份,2017-01-18,长雄证券,,,,,,水泥
300232,洲明科技,2017-01-18,民生证券,,,,,,电子元件
002059,云南旅游,2017-01-18,民生证券,,,,,,旅游酒店
000049,德赛电池,2017-01-18,东兴证券,3.0,3.0,买入,,,电池
603868,飞科电器,2017-01-18,西南证券,2.0,,增持,,,小家电
001979,招商蛇口,2017-01-18,东莞证券,3.0,3.0,买入,,,房地产开发
300398,飞凯材料,2017-01-18,华安证券,2.0,2.0,增持,,,电子化学品Ⅱ
603716,塞力斯,2017-01-18,东兴证券,2.0,,增持,,,医药商业
002341,新纶科技,2017-01-18,东兴证券,3.0,3.0,买入,,,材料行业
000338,潍柴动力,2017-01-18,东吴证券,3.0,3.0,买入,,,汽车零部件
600297,广汇汽车,2017-01-18,东吴证券,3.0,3.0,买入,,,汽车行业
001979,招商蛇口,2017-01-18,国金证券,,,,,,房地产开发
603128,华贸物流,2017-01-18,国金证券,,,,,,物流
002244,滨江集团,2017-01-18,东兴证券,3.0,3.0,买入,,,房地产开发
600048,保利地产,2017-01-18,群益证券,3.0,3.0,买入,,,房地产开发
603027,千禾味业,2017-01-18,国金证券,,,,,,调味发酵品Ⅱ
000662,天夏智慧,2017-01-18,东吴证券,3.0,3.0,买入,,,软件服务
002601,佰利联,2017-01-18,太平洋,3.0,,买入,,,化学原料
002022,科华生物,2017-01-17,广证恒生证券研究所,3.0,3.0,买入,,,医疗器械
300246,宝莱特,2017-01-17,广州广证恒生市场研究,3.0,3.0,买入,,,医疗器械
002126,银轮股份,2017-01-17,中银证券,3.0,3.0,买入,,,汽车零部件
000150,宜华健康,2017-01-17,中银国际,,,,,,医疗行业
300136,信维通信,2017-01-17,民生证券,,,,,,消费电子
002456,欧菲光,2017-01-17,民生证券,,,,,,光学光电子
300158,振东制药,2017-01-17,民生证券,,,,,,中药Ⅱ
000049,德赛电池,2017-01-17,民生证券,,,,,,电池
600415,小商品城,2017-01-17,民生证券,,,,,,一般零售
002142,宁波银行,2017-01-17,民生证券,,,,,,银行Ⅱ
603898,好莱客,2017-01-17,民生证券,,,,,,家居用品
603323,吴江银行,2017-01-17,民生证券,,,,,,银行Ⅱ
600074,保千里,2017-01-17,民生证券,,,,,,安防设备
002092,中泰化学,2017-01-17,民生证券,,,,,,化学原料
600522,中天科技,2017-01-17,民生证券,,,,,,通信设备
300236,上海新阳,2017-01-17,民生证券,,,,,,电子化学品Ⅱ
002597,金禾实业,2017-01-17,华安证券,3.0,,买入,,,化学制品
300568,星源材质,2017-01-17,东兴证券,2.0,,增持,,,电池
300141,和顺电气,2017-01-17,东兴证券,3.0,,买入,,,电网设备
601636,旗滨集团,2017-01-17,中投证券,3.0,3.0,买入,,,玻璃玻纤
000987,越秀金控,2017-01-17,东吴证券,2.0,,增持,,,多元金融
002206,海利得,2017-01-17,中银国际,,,,,,化学纤维
300232,洲明科技,2017-01-17,国元证券,2.0,2.0,增持,,,光学光电子
603007,花王股份,2017-01-17,国元证券,3.0,,买入,,,汽车零部件
300096,ST易联众,2017-01-17,国金证券,,,,,,IT服务Ⅱ
002094,青岛金王,2017-01-17,国金证券,,,,,,家居用品
