symbol,name,ann_date,period,period_end,holders,holders_prev,holders_chg_pct,avg_hold_value
002531,天顺风能,2016-04-30,20160331,2016-03-31,45627,46669,-2.232745505582,197691.717623337
002496,辉丰股份,2016-04-30,20160331,2016-03-31,48116,28803,67.052043189946,241158.713182725
002489,浙江永强,2016-04-30,20160331,2016-03-31,219359,256050,-14.329623120484,82324.4679949307
002487,大金重工,2016-04-30,20160331,2016-03-31,50668,53119,-4.614168188407,107109.023446751
002444,巨星科技,2016-04-30,20160331,2016-03-31,50777,38305,32.559718052474,358084.144533943
002441,众业达,2016-04-30,20160331,2016-03-31,33303,33075,0.689342403628,267627.194222743
002439,启明星辰,2016-04-30,20160331,2016-03-31,64781,66416,-2.461756203325,317364.261169787
002431,ST棕榈,2016-04-30,20160331,2016-03-31,69599,42691,63.029678386545,251661.596862024
002425,凯撒文化,2016-04-30,20160331,2016-03-31,13740,9946,38.14598833702,790097.863901019
002423,中粮资本,2016-04-30,20160331,2016-03-31,31942,30884,3.425722056728,255729.196997057
002419,天虹股份,2016-04-30,20160331,2016-03-31,17831,18464,-3.428292894281,618852.447983848
002413,雷科防务,2016-04-30,20160331,2016-03-31,36376,21075,72.602609727165,382963.214547229
002412,汉森制药,2016-04-30,20160331,2016-03-31,18536,18849,-1.660565547244,269874.838152784
002409,雅克科技,2016-04-30,20160331,2016-03-31,13232,10280,28.715953307393,352323.881499395
002403,爱仕达,2016-04-30,20160331,2016-03-31,21301,23230,-8.303917348257,183382.939768086
002369,卓翼科技,2016-04-30,20160331,2016-03-31,47860,49382,-3.082094690373,99340.6875783535
002366,融发核电,2016-04-30,20160331,2016-03-31,14118,11840,19.239864864865,1539367.64964938
002361,神剑股份,2016-04-30,20160331,2016-03-31,33087,32906,0.550051662311,166199.62294859
002357,富临运业,2016-04-30,20160331,2016-03-31,19702,22270,-11.531207903009,221965.894437113
002354,天娱数科,2016-04-30,20160331,2016-03-31,11566,11578,-0.103644843669,1996825.21396939
002345,潮宏基,2016-04-30,20160331,2016-03-31,39371,34076,15.53879563329,232040.13288969
002340,格林美,2016-04-30,20160331,2016-03-31,88935,90066,-1.255745786423,173143.311714623
002331,皖通科技,2016-04-30,20160331,2016-03-31,53709,49650,8.175226586103,94035.4202256605
002322,理工能科,2016-04-30,20160331,2016-03-31,23952,21560,11.094619666048,298608.244822979
002312,川发龙蟒,2016-04-30,20160331,2016-03-31,57174,56777,0.699226799584,367979.625770455
002306,ST云网,2016-04-30,20160331,2016-03-31,80764,87145,-7.322278960353,54182.5565846169
