strategy,n_days,years,total_return,cagr,vol,sharpe,sortino,max_dd,calmar,t_stat,pos_month_pct,longest_underwater_days,exposure,n_trades,win_rate,profit_factor,expectancy,avg_hold_days,top5_share,p_k,p_n,p_rebal,family
"margin_buy_intensity(k=20,n=20,rebal=5)",2569,10.53,3.22334876674977,0.1466318875463506,0.20548314111015992,0.7689802057148862,1.0319222348388464,-0.25856488242848974,0.5670990049737477,2.495182407645357,0.4881889763779528,685,0.9026858699883222,272,0.0,0.0,0.0,0.0,,20,20,5,margin_buy_intensity
"margin_buy_intensity(k=20,n=60,rebal=5)",2569,10.53,3.42705491064756,0.1517735040417183,0.20625507179061703,0.7885713068629036,1.056546872540511,-0.29163637809995,0.5204203434103213,2.5587514963782567,0.5354330708661418,734,0.9026858699883222,105,0.0,0.0,0.0,0.0,,20,60,5,margin_buy_intensity
"margin_buy_intensity(k=20,n=5,rebal=10)",2569,10.53,0.4997264000306507,0.03924363960155608,0.19866768286137876,0.29337584359094504,0.3843386411046278,-0.34122446120482175,0.11500828358843794,0.9519441961132277,0.4330708661417323,955,0.9026858699883222,612,0.0,0.0,0.0,0.0,,20,5,10,margin_buy_intensity
"margin_buy_intensity(k=20,n=10,rebal=10)",2569,10.53,1.3809592575531604,0.08588384148463923,0.20317744349624645,0.5075363434366964,0.6650602729145332,-0.292433240160923,0.29368700164652367,1.6468509149810762,0.4881889763779528,689,0.9026858699883222,427,0.0,0.0,0.0,0.0,,20,10,10,margin_buy_intensity
"margin_buy_intensity(k=20,n=20,rebal=10)",2569,10.53,3.275617644772767,0.147972230642897,0.20414445791297153,0.778440925709894,1.04373990800263,-0.2777992540200236,0.5326588480767888,2.525880495736267,0.48031496062992124,710,0.9026858699883222,243,0.0,0.0,0.0,0.0,,20,20,10,margin_buy_intensity
"margin_buy_intensity(k=20,n=60,rebal=10)",2569,10.53,2.816780627894669,0.13566117907801578,0.20860669935440448,0.7143831040787466,0.9650390855286767,-0.2856492914856119,0.4749221619716463,2.3180260562874246,0.5118110236220472,734,0.9026858699883222,102,0.0,0.0,0.0,0.0,,20,60,10,margin_buy_intensity
"margin_buy_intensity(k=20,n=5,rebal=20)",2569,10.53,1.109059609834203,0.0734492150065873,0.2010305496296527,0.45328245010040963,0.5976959800423486,-0.2941560010716765,0.24969476991458708,1.4708082038775832,0.48031496062992124,692,0.9026858699883222,361,0.0,0.0,0.0,0.0,,20,5,20,margin_buy_intensity
"margin_buy_intensity(k=20,n=10,rebal=20)",2569,10.53,2.3026861351365926,0.12016315964070157,0.20510263133940437,0.6562251921046073,0.861578421258542,-0.28035887449151853,0.4286048011094322,2.129315608677979,0.5354330708661418,735,0.9026858699883222,258,0.0,0.0,0.0,0.0,,20,10,20,margin_buy_intensity
"margin_buy_intensity(k=20,n=20,rebal=20)",2569,10.53,2.7943515461616575,0.13502563388932165,0.20970669778772028,0.7091901902765833,0.94186418720306,-0.26056038654358527,0.5182124408106649,2.3011761204018435,0.5039370078740157,692,0.9026858699883222,199,0.0,0.0,0.0,0.0,,20,20,20,margin_buy_intensity
"margin_buy_intensity(k=20,n=60,rebal=20)",2569,10.53,2.6786040506209625,0.13169078213298646,0.20396623027203953,0.7088353493768182,0.9533157010524804,-0.27940120960787385,0.4713321832708174,2.300024734756249,0.5118110236220472,734,0.9026858699883222,95,0.0,0.0,0.0,0.0,,20,60,20,margin_buy_intensity
