strategy,family,n_days,years,total_return,cagr,vol,sharpe,sortino,max_dd,calmar,t_stat,pos_month_pct,longest_underwater_days,exposure,n_trades,win_rate,profit_factor,expectancy,avg_hold_days,top5_share,blocked,p_fast,p_slow,p_n1,p_n2,p_n3,p_sig,p_n,p_thresh,p_entry_n,p_exit_n,p_atr_mult,p_atr_n,p_vol_mult,p_k,p_mult,p_hi,p_lo,p_k_hi,p_k_lo,p_ma_n,p_rsi_hi,p_rsi_lo,p_rsi_n,p_dip
"vol_breakout(exit_n=20,n=20,vol_mult=1.5)",vol_breakout,2569,10.53,0.823549036693465,0.05872110698327049,0.25932507876316063,0.3496787226858082,0.48281499880602935,-0.6200889849306439,0.09469787145120528,1.1346354440455235,0.4251968503937008,1146,0.9000778513040093,680,0.0,0.0,0.0,0.0,,194,,,,,,,20.0,,,20.0,,,1.5,,,,,,,,,,,
"vol_breakout(exit_n=5,n=20,vol_mult=2.0)",vol_breakout,2569,10.53,-0.012251524131461466,-0.001170134253100974,0.22926351618982863,0.10977891070186405,0.1438953203049634,-0.5334330190008812,-0.0021935917189615157,0.35620995791317167,0.4015748031496063,1116,0.7598287271311794,1570,0.0,0.0,0.0,0.0,,105,,,,,,,20.0,,,5.0,,,2.0,,,,,,,,,,,
"vol_breakout(exit_n=10,n=20,vol_mult=2.0)",vol_breakout,2569,10.53,-0.0297728878493011,-0.0028666206534953,0.2547361437451037,0.11644305771002249,0.15450714951378888,-0.6017466183731051,-0.004763833424183681,0.3778337425738716,0.4251968503937008,1129,0.8466718567536006,1096,0.0,0.0,0.0,0.0,,136,,,,,,,20.0,,,10.0,,,2.0,,,,,,,,,,,
"vol_breakout(exit_n=20,n=20,vol_mult=2.0)",vol_breakout,2569,10.53,0.2998348807522675,0.02521969241332722,0.2610579596033289,0.22595175947984444,0.31286660426285556,-0.6490392189169758,0.03885696222704423,0.7331669281480293,0.4330708661417323,1147,0.8905799922148695,660,0.0,0.0,0.0,0.0,,171,,,,,,,20.0,,,20.0,,,2.0,,,,,,,,,,,
"vol_breakout(exit_n=5,n=20,vol_mult=3.0)",vol_breakout,2569,10.53,0.4161140384550568,0.03359665889221275,0.18546178208636716,0.27070527462793686,0.3628741391845975,-0.43525700633014563,0.07718809439848381,0.8783828684907294,0.3937007874015748,2040,0.561424678863371,1056,0.0,0.0,0.0,0.0,,49,,,,,,,20.0,,,5.0,,,3.0,,,,,,,,,,,
"vol_breakout(exit_n=10,n=20,vol_mult=3.0)",vol_breakout,2569,10.53,1.1004906691624896,0.07303421768655416,0.21938958530793995,0.4312504379787844,0.5680825791935931,-0.42226248462715843,0.17295928562311325,1.399318861704202,0.4015748031496063,1068,0.7283378746594005,860,0.0,0.0,0.0,0.0,,64,,,,,,,20.0,,,10.0,,,3.0,,,,,,,,,,,
"vol_breakout(exit_n=20,n=20,vol_mult=3.0)",vol_breakout,2569,10.53,1.1367475753875182,0.07477980171163345,0.25538349114017705,0.41050191582678125,0.5405659831261684,-0.5159970305136673,0.1449229303455318,1.3319941801668034,0.47244094488188976,1044,0.8409497859089139,620,0.0,0.0,0.0,0.0,,101,,,,,,,20.0,,,20.0,,,3.0,,,,,,,,,,,
"vol_breakout(exit_n=5,n=40,vol_mult=1.5)",vol_breakout,2569,10.53,-0.2097387236767666,-0.02210909871558364,0.2338432038978703,0.02161294884896906,0.027972258240690544,-0.6167892982797742,-0.03584546420835435,0.07012956815338556,0.3543307086614173,1468,0.7218372907746204,1476,0.0,0.0,0.0,0.0,,106,,,,,,,40.0,,,5.0,,,1.5,,,,,,,,,,,
"vol_breakout(exit_n=10,n=40,vol_mult=1.5)",vol_breakout,2569,10.53,-0.2066026915028133,-0.021741183858217328,0.2531777502684439,0.04010934230534512,0.05258261751181361,-0.6865332996205662,-0.03166806893450509,0.13014655586548268,0.41732283464566927,1178,0.8182561307901908,1043,0.0,0.0,0.0,0.0,,127,,,,,,,40.0,,,10.0,,,1.5,,,,,,,,,,,
"vol_breakout(exit_n=20,n=40,vol_mult=1.5)",vol_breakout,2569,10.53,0.6900801072558029,0.05110551133187813,0.2594727129857863,0.32211400213381575,0.4297287624653049,-0.6016468347826136,0.08494270787669567,1.045193602393629,0.4409448818897638,1121,0.8805371739976644,641,0.0,0.0,0.0,0.0,,157,,,,,,,40.0,,,20.0,,,1.5,,,,,,,,,,,
"vol_breakout(exit_n=5,n=40,vol_mult=2.0)",vol_breakout,2569,10.53,-0.09311210518405744,-0.009239916199048959,0.22047266450958347,0.06833007543638345,0.08796932648509562,-0.6135239054812134,-0.01506040125983631,0.22171702324046383,0.36220472440944884,2236,0.6595562475671468,1313,0.0,0.0,0.0,0.0,,89,,,,,,,40.0,,,5.0,,,2.0,,,,,,,,,,,
"vol_breakout(exit_n=10,n=40,vol_mult=2.0)",vol_breakout,2569,10.53,0.2154321568383435,0.018703045717644917,0.2459464895570913,0.1986106172959767,0.25993471779555843,-0.6316208288493701,0.029611192132020788,0.6444505522580999,0.4094488188976378,1128,0.7827948618139354,977,0.0,0.0,0.0,0.0,,113,,,,,,,40.0,,,10.0,,,2.0,,,,,,,,,,,
"vol_breakout(exit_n=20,n=40,vol_mult=2.0)",vol_breakout,2569,10.53,1.2284080248555291,0.07907603517534212,0.2662338317747818,0.41911152667973506,0.5654168239436508,-0.6113409604567822,0.12934849828524173,1.3599305943648665,0.4566929133858268,1044,0.8660179057999221,630,0.0,0.0,0.0,0.0,,146,,,,,,,40.0,,,20.0,,,2.0,,,,,,,,,,,
"vol_breakout(exit_n=5,n=40,vol_mult=3.0)",vol_breakout,2569,10.53,0.6577702238470311,0.04918026266273534,0.17961886164032534,0.3571054729837564,0.44909800590733984,-0.3795092978417792,0.12958908501693422,1.1587337193349214,0.41732283464566927,759,0.4544569871545348,852,0.0,0.0,0.0,0.0,,61,,,,,,,40.0,,,5.0,,,3.0,,,,,,,,,,,
